param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
phi_recover,1.0,0.8,1.2,0.03185360248783169,0.07882062896740029,0.011973808073004771,0.046967026479568595,-0.019879794414826922,0.046967026479568595
sigma,0.2,0.16000000000000003,0.24,0.03185360248783169,0.07635291198445146,0.008933515410140444,0.04449930949661977,-0.022920087077691248,0.04449930949661977
contact_rate,10.0,8.0,12.0,0.03185360248783169,0.006501353433761167,0.062061830169560815,-0.025352249054070526,0.030208227681729122,0.030208227681729122
transmission_probability_low,0.025,0.020000000000000004,0.03,0.03185360248783169,0.006501353433739109,0.062061830169560524,-0.025352249054092585,0.03020822768172883,0.03020822768172883
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.03185360248783169,0.017506027699181467,0.047634758217427194,-0.014347574788650227,0.0157811557295955,0.0157811557295955
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.03185360248783169,0.019489786853022745,0.04505259040648965,-0.012363815634808949,0.013198987918657958,0.013198987918657958
drug_contact_restore,0.8,0.6400000000000001,0.96,0.03185360248783169,0.029375587946009946,0.03437072551655798,-0.002478014541821748,0.0025171230287262883,0.0025171230287262883
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.03185360248783169,0.029561101591713077,0.03363818110845762,-0.002292500896118616,0.0017845786206259276,0.002292500896118616
kappa_base,1.0,0.8,1.2,0.03185360248783169,0.03295753521991075,0.03075382638472452,0.001103932732079059,-0.0010997761031071723,0.001103932732079059
theta,0.3,0.24,0.36,0.03185360248783169,0.032957535219910315,0.03075382638472435,0.0011039327320786219,-0.0010997761031073423,0.0011039327320786219
delta,0.008333333333333333,0.006666666666666667,0.01,0.03185360248783169,0.03082372666680506,0.03288166254403296,-0.001029875821026635,0.0010280600562012632,0.001029875821026635
drug_contact_multiplier,1.2,0.96,1.44,0.03185360248783169,0.03248076158073033,0.03148381241140149,0.0006271590928986354,-0.00036979007643020423,0.0006271590928986354
kappa_scale,1.0,0.8,1.2,0.03185360248783169,0.03224085718880584,0.03146476286940787,0.0003872547009741434,-0.00038883961842382103,0.00038883961842382103
birth_rate,0.0,0.0,0.0,0.03185360248783169,0.03185360248783169,0.03185360248783169,0.0,0.0,0.0
death_rate,0.0,0.0,0.0,0.03185360248783169,0.03185360248783169,0.03185360248783169,0.0,0.0,0.0
