param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
sigma,0.2,0.16000000000000003,0.24,0.006276170840861575,0.03618503127944194,0.0004997501249375312,0.029908860438580365,-0.005776420715924044,0.029908860438580365
transmission_probability_low,0.025,0.020000000000000004,0.03,0.006276170840861575,0.0004997501249375312,0.02723117591031515,-0.005776420715924044,0.020955005069453574,0.020955005069453574
contact_rate,10.0,8.0,12.0,0.006276170840861575,0.0004997501249375312,0.02723117591031491,-0.005776420715924044,0.020955005069453334,0.020955005069453334
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.006276170840861575,0.0029908386596828765,0.010475662283653606,-0.0032853321811786985,0.004199491442792031,0.004199491442792031
theta,0.3,0.24,0.36,0.006276170840861575,0.007586896361037064,0.005066397991413879,0.001310725520175489,-0.0012097728494476958,0.001310725520175489
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.006276170840861575,0.005738011272715407,0.00669476715967883,-0.000538159568146168,0.00041859631881725496,0.000538159568146168
