param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
sigma,0.2,0.16000000000000003,0.24,0.009049785361819032,0.04249304539534538,0.0004997501249375312,0.03344326003352635,-0.008550035236881501,0.03344326003352635
contact_rate,10.0,8.0,12.0,0.009049785361819032,0.0004997501249375312,0.0320221697583359,-0.008550035236881501,0.022972384396516866,0.022972384396516866
transmission_probability_low,0.025,0.020000000000000004,0.03,0.009049785361819032,0.0004997501249375312,0.03202216975833584,-0.008550035236881501,0.02297238439651681,0.02297238439651681
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.009049785361819032,0.004907185512046207,0.013932329625255497,-0.004142599849772825,0.004882544263436464,0.004882544263436464
theta,0.3,0.24,0.36,0.009049785361819032,0.010605505402983738,0.007575747916096935,0.0015557200411647053,-0.0014740374457220973,0.0015557200411647053
delta,0.008333333333333333,0.006666666666666667,0.01,0.009049785361819032,0.008461213757584156,0.009648806814500786,-0.000588571604234877,0.0005990214526817531,0.0005990214526817531
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.009049785361819032,0.008531855221815935,0.009453192057005578,-0.0005179301400030974,0.00040340669518654573,0.0005179301400030974
birth_rate,0.0,0.0,0.0,0.009049785361819032,0.009049785361819032,0.009049785361819032,0.0,0.0,0.0
death_rate,0.0,0.0,0.0,0.009049785361819032,0.009049785361819032,0.009049785361819032,0.0,0.0,0.0
