param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
sigma,0.2,0.16000000000000003,0.24,0.0027341760989108006,0.01381512951489191,0.0004995004995004995,0.011080953415981108,-0.002234675599410301,0.011080953415981108
contact_rate,10.0,8.0,12.0,0.0027341760989108006,0.0004995004995004995,0.010679427154119705,-0.002234675599410301,0.007945251055208904,0.007945251055208904
transmission_probability_low,0.025,0.020000000000000004,0.03,0.0027341760989108006,0.0004995004995004995,0.010679427154119656,-0.002234675599410301,0.007945251055208855,0.007945251055208855
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.0027341760989108006,0.001758666661851241,0.003543557367338874,-0.0009755094370595596,0.0008093812684280732,0.0009755094370595596
kappa_base,1.0,0.8,1.2,0.0027341760989108006,0.003287848919442493,0.0022321721003243115,0.0005536728205316923,-0.0005020039985864891,0.0005536728205316923
theta,0.3,0.24,0.36,0.0027341760989108006,0.0032878489194423308,0.002232172100324329,0.0005536728205315302,-0.0005020039985864718,0.0005536728205315302
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.0027341760989108006,0.003113145499684082,0.0022128220731541305,0.0003789694007732816,-0.0005213540257566701,0.0005213540257566701
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.0027341760989108006,0.0025258120852739924,0.0028925822457902257,-0.0002083640136368082,0.00015840614687942511,0.0002083640136368082
restoration_efficiency,0.5,0.4,0.6,0.0027341760989108006,0.002918541026442525,0.0025662368239572656,0.0001843649275317244,-0.00016793927495353496,0.0001843649275317244
kappa_scale,1.0,0.8,1.2,0.0027341760989108006,0.0026567086130409173,0.002814947007517319,-7.746748586988329e-05,8.077090860651856e-05,8.077090860651856e-05
