param,base,low,high,metric_base,metric_low,metric_high,delta_low,delta_high,max_abs_delta
sigma,0.2,0.16000000000000003,0.24,0.0041230282662188585,0.022620232447080613,0.0004995004995004995,0.018497204180861752,-0.003623527766718359,0.018497204180861752
contact_rate,10.0,8.0,12.0,0.0041230282662188585,0.0004995004995004995,0.016779257151851315,-0.003623527766718359,0.012656228885632457,0.012656228885632457
transmission_probability_low,0.025,0.020000000000000004,0.03,0.0041230282662188585,0.0004995004995004995,0.0167792571518512,-0.003623527766718359,0.012656228885632342,0.012656228885632342
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.0041230282662188585,0.0009824128291577362,0.009853964537830141,-0.0031406154370611223,0.005730936271611283,0.005730936271611283
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.0041230282662188585,0.003315889171444583,0.006481851339242391,-0.0008071390947742754,0.002358823073023533,0.002358823073023533
restoration_efficiency,0.5,0.4,0.6,0.0041230282662188585,0.0034738188438718028,0.004838049922252846,-0.0006492094223470557,0.0007150216560339873,0.0007150216560339873
theta,0.3,0.24,0.36,0.0041230282662188585,0.004747067108160126,0.00352948402989298,0.0006240388419412671,-0.0005935442363258787,0.0006240388419412671
kappa_base,1.0,0.8,1.2,0.0041230282662188585,0.004747067108158604,0.003529484029892961,0.0006240388419397457,-0.0005935442363258973,0.0006240388419397457
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.0041230282662188585,0.0037094810464566087,0.0044539037753203135,-0.00041354721976224985,0.000330875509101455,0.00041354721976224985
kappa_scale,1.0,0.8,1.2,0.0041230282662188585,0.004436357073321026,0.0038231408819694745,0.0003133288071021671,-0.00029988738424938403,0.0003133288071021671
