param,base,low,high,peak_high_low_perturb,peak_low_low_perturb,peak_high_high_perturb,peak_low_high_perturb,relative_gap_low_perturb,relative_gap_high_perturb,max_abs_relative_gap
phi_transmission,1.5,1.2000000000000002,1.7999999999999998,0.004089542041145018,0.0030515771253859197,0.013072681067202501,0.001892464438133768,0.34014048248176953,5.907755202044365,5.907755202044365
drug_transmission_multiplier,0.75,0.6000000000000001,0.8999999999999999,0.001975695931837195,0.0015914425935734178,0.014860197786081384,0.003287216359937936,0.24144970092887647,3.520602284408791,3.520602284408791
restoration_efficiency,0.5,0.4,0.6,0.005511135053890103,0.002736572616298294,0.008755618954289907,0.0022672291757263865,1.013882263188361,2.8618146978832595,2.8618146978832595
theta,0.3,0.24,0.36,0.007080159183034472,0.0031343781388738744,0.006987545365338639,0.0019442632542272216,1.2588720535098696,2.5939296544057506,2.5939296544057506
kappa_base,1.0,0.8,1.2,0.007080159183034533,0.003134378138873915,0.006987545365338547,0.0019442632542272104,1.2588720535098596,2.5939296544057244,2.5939296544057244
kappa_scale,1.0,0.8,1.2,0.007232898892868735,0.0024572156855575305,0.006871149274435267,0.002509185410123547,1.9435343976439028,1.7383983848754112,1.9435343976439028
tau,0.3333333333333333,0.26666666666666666,0.39999999999999997,0.006443327214072545,0.0022717735128311924,0.007525224195270059,0.002646425447370585,1.8362542206254373,1.843542863732252,1.843542863732252
transmission_probability_low,0.025,0.020000000000000004,0.03,0.0004995004995004995,0.0004995004995004995,0.021670655974574675,0.01064149190648783,0.0,1.036430245402213,1.036430245402213
contact_rate,10.0,8.0,12.0,0.0004995004995004995,0.0004995004995004995,0.021670655974574696,0.010641491906487867,0.0,1.0364302454022079,1.0364302454022079
sigma,0.2,0.16000000000000003,0.24,0.02775319133454559,0.014236443893742052,0.0004995004995004995,0.0004995004995004995,0.9494468943009796,0.0,0.9494468943009796
