theta,p_recover,Eh_peak,El_peak
0.0,0.0,0.00969501395828488,0.0036254217833192165
0.0,0.05,0.00969501395828488,0.0036254217833192165
0.0,0.1,0.00969501395828488,0.0036254217833192165
0.0,0.15000000000000002,0.00969501395828488,0.0036254217833192165
0.0,0.2,0.00969501395828488,0.0036254217833192165
0.0,0.25,0.00969501395828488,0.0036254217833192165
0.0,0.30000000000000004,0.00969501395828488,0.0036254217833192165
0.0,0.35000000000000003,0.00969501395828488,0.0036254217833192165
0.0,0.4,0.00969501395828488,0.0036254217833192165
0.0,0.45,0.00969501395828488,0.0036254217833192165
0.0,0.5,0.00969501395828488,0.0036254217833192165
0.0,0.55,0.00969501395828488,0.0036254217833192165
0.0,0.6000000000000001,0.00969501395828488,0.0036254217833192165
0.0,0.65,0.00969501395828488,0.0036254217833192165
0.0,0.7000000000000001,0.00969501395828488,0.0036254217833192165
0.0,0.75,0.00969501395828488,0.0036254217833192165
0.0,0.8,0.00969501395828488,0.0036254217833192165
0.0,0.8500000000000001,0.00969501395828488,0.0036254217833192165
0.0,0.9,0.00969501395828488,0.0036254217833192165
0.0,0.9500000000000001,0.00969501395828488,0.0036254217833192165
0.0,1.0,0.00969501395828488,0.0036254217833192165
0.05,0.0,0.006945666630394904,0.0023941095278138666
0.05,0.05,0.007077778695225694,0.002451675213291066
0.05,0.1,0.007210451333954215,0.0025096747611899023
0.05,0.15000000000000002,0.0073435465308105225,0.002568110528776701
0.05,0.2,0.007477479241045416,0.0026269802962644996
0.05,0.25,0.007612023950769559,0.0026862800039833714
0.05,0.30000000000000004,0.007746883797490902,0.0027460106741687695
0.05,0.35000000000000003,0.007882759872165718,0.0028062220452154886
0.05,0.4,0.008018734744785878,0.0028668823782610447
0.05,0.45,0.00815578035610871,0.0029279511164258865
0.05,0.5,0.008292977903696472,0.002989427808879412
0.05,0.55,0.008430942725853336,0.003051301158129947
0.05,0.6000000000000001,0.008569455665870997,0.0031135744884437043
0.05,0.65,0.008708115486435823,0.003176240493399863
