phi_transmission,restoration_efficiency,mr,peak_I_high,peak_I_low,peak_I_high_total,peak_I_low_total,delta_peak_I_high,delta_peak_I_low
1.0,0.04897959183673469,0.8571428571428571,0.0018848379500129744,0.0018848379500129744,0.006282793166709915,0.006282793166709915,-0.0007544375723092319,-0.0007544375723092319
1.0,0.04897959183673469,0.8816326530612244,0.0020090476046142106,0.0020090476046142106,0.006696825348714035,0.006696825348714035,-0.0006302279177079957,-0.0006302279177079957
1.0,0.04897959183673469,0.9061224489795918,0.0021355509749814493,0.0021355509749814493,0.007118503249938166,0.007118503249938166,-0.000503724547340757,-0.000503724547340757
1.0,0.04897959183673469,0.9306122448979591,0.0022642028767356375,0.0022642028767356375,0.007547342922452125,0.007547342922452125,-0.00037507264558656874,-0.00037507264558656874
1.0,0.04897959183673469,0.9551020408163264,0.0023948446001136295,0.0023948446001136295,0.007982815333712102,0.007982815333712102,-0.00024443092220857677,-0.00024443092220857677
1.0,0.04897959183673469,0.9795918367346939,0.0025274210673670496,0.0025274210673670496,0.0084247368912235,0.0084247368912235,-0.00011185445495515665,-0.00011185445495515665
1.0,0.04897959183673469,1.0040816326530613,0.0026618405383020995,0.0026618405383020995,0.008872801794340333,0.008872801794340333,2.2565015979893188e-05,2.2565015979893188e-05
1.0,0.04897959183673469,1.0285714285714285,0.002797882780922163,0.002797882780922163,0.00932627593640723,0.00932627593640723,0.00015860725859995683,0.00015860725859995683
1.0,0.04897959183673469,1.0530612244897959,0.0029357853792997463,0.0029357853792997463,0.009785951264332501,0.009785951264332501,0.00029650985697754007,0.00029650985697754007
1.0,0.04897959183673469,1.0775510204081633,0.0030751405940781023,0.0030751405940781023,0.010250468646927035,0.010250468646927035,0.00043586507175589605,0.00043586507175589605
1.0,0.04897959183673469,1.1020408163265305,0.003215983057976238,0.003215983057976238,0.010719943526587512,0.010719943526587512,0.0005767075356540316,0.0005767075356540316
1.0,0.04897959183673469,1.126530612244898,0.0033582335657682326,0.0033582335657682326,0.011194111885894205,0.011194111885894205,0.0007189580434460263,0.0007189580434460263
1.0,0.04897959183673469,1.1510204081632653,0.0035017853486130463,0.0035017853486130463,0.011672617828710307,0.011672617828710307,0.00086250982629084,0.00086250982629084
1.0,0.04897959183673469,1.1755102040816325,0.003646441655130638,0.003646441655130638,0.01215480551710238,0.01215480551710238,0.0010071661328084317,0.0010071661328084317
1.0,0.04897959183673469,1.2,0.003792620008490764,0.003792620008490764,0.012642066694969615,0.012642066694969615,0.0011533444861685578,0.0011533444861685578
1.0,0.07346938775510203,0.0,9.56265101503297e-05,9.56265101503297e-05,0.0004995004995004995,0.0004995004995004995,-0.0025436490121718766,-0.0025436490121718766
1.0,0.07346938775510203,0.024489795918367346,9.656001022339307e-05,9.656001022339307e-05,0.0004995004995004995,0.0004995004995004995,-0.002542715512098813,-0.002542715512098813
1.0,0.07346938775510203,0.04897959183673469,9.755130399035787e-05,9.755130399035787e-05,0.0004995004995004995,0.0004995004995004995,-0.0025417242183318482,-0.0025417242183318482
