strategy,R0_target,R0_low_actual,R0_high_actual,phi_transmission,contact_rate,transmission_probability,beta_l,beta_h,Eh_peak,El_peak,Ih_peak,Il_peak,Eh_final,El_final,dominance_ratio
vary_contact_rate,0.5,0.36125,0.36125,1.0,3.4,0.025,0.085,0.085,6.293438528033119e-05,6.293438528033119e-05,0.0004995004995004995,0.0004995004995004995,-5.71505677254809e-08,-5.715043210707939e-08,0.9999984110460338
vary_contact_rate,0.75,0.541875,0.541875,1.0,5.1,0.025,0.1275,0.1275,9.872014655683967e-05,9.872014655683967e-05,0.0004995004995004995,0.0004995004995004995,-3.310948012569398e-09,-3.3109480061706836e-09,0.9999989870365656
vary_contact_rate,1.0,0.7225,0.7225,1.0,6.8,0.025,0.17,0.17,0.00013829128136168682,0.00013829128136168682,0.0004995004995004995,0.0004995004995004995,3.036105124704703e-10,3.036105090972171e-10,0.9999992768891378
vary_contact_rate,1.25,0.903125,0.903125,1.0,8.5,0.025,0.21250000000000002,0.21250000000000002,0.00018551856456254352,0.00018551856456254352,0.0004995004995004995,0.0004995004995004995,1.936232680676627e-06,1.936232680676627e-06,0.9999994609706778
vary_contact_rate,1.5,1.08375,1.08375,1.0,10.2,0.025,0.255,0.255,0.0011878984092886752,0.0011878984092886752,0.0019791517950339954,0.0019791517950339954,0.0011391591294150774,0.0011391591294150774,0.9999999158177241
vary_contact_rate,1.75,1.264375,1.264375,1.0,11.9,0.025,0.29750000000000004,0.29750000000000004,0.00574743654186797,0.00574743654186797,0.009534364472892574,0.009534364472892574,0.0017133045500834635,0.0017133045500834635,0.9999999826009391
vary_contact_rate,2.0,1.445,1.445,1.0,13.6,0.025,0.34,0.34,0.011741659920667035,0.011741659920667035,0.01932107575935635,0.01932107575935635,0.004190785995474612,0.004190785995474612,0.9999999914833168
vary_contact_rate,2.25,1.6256249999999999,1.6256249999999999,1.0,15.299999999999999,0.025,0.3825,0.3825,0.01826385819805431,0.01826385819805431,0.0297365967394811,0.0297365967394811,0.005844321304477955,0.005844321304477955,0.9999999945247056
vary_contact_rate,2.5,1.80625,1.80625,1.0,17.0,0.025,0.42500000000000004,0.42500000000000004,0.024889163462740158,0.024889163462740158,0.04005129122609014,0.04005129122609014,0.004730394490883725,0.004730394490883725,0.9999999959821871
vary_contact_rate,2.75,1.9868750000000002,1.9868750000000002,1.0,18.7,0.025,0.4675,0.4675,0.031437776003123266,0.031437776003123266,0.049937098765765756,0.049937098765765756,0.0045117841580876086,0.0045117841580876086,0.9999999968191133
vary_contact_rate,3.0,2.1675,2.1675,1.0,20.4,0.025,0.51,0.51,0.03780356569705968,0.03780356569705968,0.05924408500545268,0.05924408500545268,0.005460725911093646,0.005460725911093646,0.9999999973547469
vary_contact_rate,0.5,0.36125,0.375965625,1.05,3.4,0.025,0.085,0.08925000000000001,6.624949577915671e-05,6.293411736141073e-05,0.0004995004995004995,0.0004995004995004995,-2.0271623916620217e-09,-4.278869181011424e-09,1.0526784721689224
vary_contact_rate,0.75,0.541875,0.5639484375000001,1.05,5.1,0.025,0.1275,0.13387500000000002,0.00010425516153388643,9.871938993153307e-05,0.0004995004995004995,0.0004995004995004995,-8.522321903267422e-10,-6.265444919629745e-09,1.0560747589578576
vary_contact_rate,1.0,0.7225,0.75193125,1.05,6.8,0.025,0.17,0.17850000000000002,0.00014674125371136418,0.00013828962032383913,0.0004995004995004995,0.0004995004995004995,8.613830848122504e-10,1.2978038929700266e-10,1.0611146899981698
vary_contact_rate,1.25,0.903125,0.9399140625000002,1.05,8.5,0.025,0.21250000000000002,0.22312500000000005,0.00019867761796912481,0.00018551418543634495,0.0004995004995004995,0.0004995004995004995,1.0977104843423479e-05,1.8694325285355771e-06,1.07095589701795
vary_contact_rate,1.5,1.08375,1.1278968750000002,1.05,10.2,0.025,0.255,0.26775000000000004,0.0029556746552208924,0.0008172970107916032,0.004923078853762374,0.001360892264073954,0.002672205216484266,0.00040583282242766066,3.616401693085807
vary_contact_rate,1.75,1.264375,1.3158796875000003,1.05,11.9,0.025,0.29750000000000004,0.31237500000000007,0.009345494700249484,0.004291151779690816,0.015486367981802779,0.007108693359384407,0.0035937371360573447,0.0005430733715959344,2.1778522322828717
