phi_transmission,peak_I_total,t_peak_I_total,S_end,attack_rate,peak_I_high,peak_I_low,high_frac_end,high_frac_peak_time,d_peak_I_total,d_attack_rate,d_S_end,d_high_frac_end
1.0,0.014024998467612794,181.49725274725276,0.8161807097715964,0.1838192902284036,0.007012499233806397,0.007012499233806397,0.4999999999025026,0.49999999996434935,0.0002978783760714133,-0.014263382564297378,0.014263382564297378,0.49999805787689644
1.2,0.012562255927406868,197.5412087912088,0.8138138240210095,0.18618617597899045,0.0030174064498884644,0.009738537109067306,0.10201400562622993,0.2279832293978716,-0.001164864164134513,-0.011896496813710522,0.011896496813710522,0.10201206360062376
1.5,0.013727120091541381,211.57967032967034,0.801917327207299,0.19808267279270098,0.0004995004995004995,0.013722125020946316,1.9420256061744224e-06,0.00036388336092284864,0.0,0.0,0.0,0.0
1.8,0.013900203323620281,210.57692307692307,0.8023304732078446,0.19766952679215544,0.0004995004995004995,0.01390020332130593,5.087961907241702e-17,1.664977232520057e-10,0.00017308323207890046,-0.00041314600054553896,0.00041314600054553896,-1.942025606123543e-06
2.2,0.013915268182818206,210.57692307692307,0.802415699275659,0.19758430072434097,0.0004995004995004995,0.013915268182818206,6.134067015015037e-34,1.513234361219258e-20,0.00018814809127682547,-0.000498372068360009,0.000498372068360009,-1.9420256061744224e-06
2.8,0.013915268182818206,210.57692307692307,0.802415699275659,0.19758430072434097,0.0004995004995004995,0.013915268182818206,6.134067015015037e-34,1.513234361219258e-20,0.00018814809127682547,-0.000498372068360009,0.000498372068360009,-1.9420256061744224e-06
