time,Eh,El,Indh,Indl,param_name,param_value,R0_low,R0_high,R0_target,kappa_high,kappa_low
339.93131868131866,0.0030003088068708615,0.0004036390966432342,0.0034676623599416414,0.000490572911071434,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
340.9340659340659,0.0029942217603722674,0.0004005748133701206,0.003459317305028562,0.0004866636110856063,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
341.9368131868132,0.002988368130119786,0.00039756251083715774,0.0034512509351473436,0.0004828207634710169,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
342.9395604395604,0.0029827458991864824,0.000394601253861655,0.003443460804733091,0.00047904321445222585,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
343.9423076923077,0.00297735307124569,0.0003916901348041989,0.0034359445115523584,0.0004753298341701073,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
344.94505494505495,0.002972187667121921,0.00038882825740789315,0.0034286996712182788,0.0004716795058299513,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
345.9478021978022,0.0029672477108738503,0.0003860147355597001,0.003421723919832441,0.00046809112463524203,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
346.95054945054943,0.002962531241757952,0.00038324870081548614,0.003415014925545654,0.00046456360640618306,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
347.9532967032967,0.002958036314332594,0.00038052930246549915,0.0034085703886585442,0.0004610958876546895,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
348.95604395604397,0.002953760996574236,0.00037785570297272275,0.0034023880415896767,0.00045768691944829686,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
349.9587912087912,0.0029497033692857597,0.00037522707654015166,0.003396465648865544,0.00045433566548293346,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
350.96153846153845,0.0029458615299079957,0.0003726426183404224,0.0033908010071850635,0.0004510411144981447,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
351.9642857142857,0.00294223359073456,0.00037010154019302135,0.003385391945389368,0.00044780227446229585,p_recover,0.8,1.1749999999999998,1.2298125,,1.05,1.0
