parameter,sensitivity_index
beta_l,0.31526201465344605
sigma,-0.2827371161731587
phi_transmission,0.22399957976881088
phi_recover,-0.14599162147574932
p_recover,-0.126242573880183
theta,-0.03138573291388478
tau,0.0
delta,0.0
