strategy,R0_target,R0_low_actual,R0_high_actual,phi_transmission,contact_rate,transmission_probability,beta_l,beta_h,Eh_peak,El_peak,Ih_peak,Il_peak,Eh_final,El_final,dominance_ratio
balanced,0.5,0.36125,0.36125,1.0,5.830951894845301,0.014577379737113254,0.08500000000000002,0.08500000000000002,6.293438528033119e-05,6.293438528033119e-05,0.0004995004995004995,0.0004995004995004995,-5.719113229676823e-08,-5.7190674062626765e-08,0.9999984110460338
balanced,0.75,0.5418749999999998,0.5418749999999998,1.0,7.1414284285428495,0.017853571071357124,0.12749999999999997,0.12749999999999997,9.872014655683961e-05,9.872014655683961e-05,0.0004995004995004995,0.0004995004995004995,-3.3102835077673415e-09,-3.3102835096390366e-09,0.9999989870365656
balanced,1.0,0.7225,0.7225,1.0,8.246211251235321,0.020615528128088305,0.17,0.17,0.00013829128136168682,0.00013829128136168682,0.0004995004995004995,0.0004995004995004995,3.036105124704703e-10,3.036105090972171e-10,0.9999992768891378
balanced,1.25,0.903125,0.903125,1.0,9.219544457292887,0.02304886114323222,0.21250000000000002,0.21250000000000002,0.00018551856456254352,0.00018551856456254352,0.0004995004995004995,0.0004995004995004995,1.936232680676627e-06,1.936232680676627e-06,0.9999994609706778
balanced,1.5,1.08375,1.08375,1.0,10.099504938362077,0.025248762345905198,0.255,0.255,0.0011878984092886752,0.0011878984092886752,0.0019791517950339954,0.0019791517950339954,0.0011391591294150774,0.0011391591294150774,0.9999999158177241
balanced,1.75,1.264375,1.264375,1.0,10.908712114635716,0.02727178028658929,0.29750000000000004,0.29750000000000004,0.00574743654186797,0.00574743654186797,0.009534364472892574,0.009534364472892574,0.0017133045500834635,0.0017133045500834635,0.9999999826009391
balanced,2.0,1.445,1.445,1.0,11.661903789690601,0.029154759474226508,0.3400000000000001,0.3400000000000001,0.01174165992071052,0.01174165992071052,0.019321075759359763,0.019321075759359763,0.004190785995244743,0.004190785995244743,0.9999999914833168
balanced,2.25,1.625625,1.625625,1.0,12.369316876852983,0.030923292192132457,0.38250000000000006,0.38250000000000006,0.018263858198054306,0.018263858198054306,0.02973659673948112,0.02973659673948112,0.005844321304465776,0.005844321304465776,0.9999999945247056
balanced,2.5,1.80625,1.80625,1.0,13.038404810405297,0.03259601202601325,0.42500000000000004,0.42500000000000004,0.024889163462740158,0.024889163462740158,0.04005129122609014,0.04005129122609014,0.004730394490883725,0.004730394490883725,0.9999999959821871
balanced,2.75,1.9868750000000004,1.9868750000000004,1.0,13.674794331177345,0.03418698582794336,0.46750000000000014,0.46750000000000014,0.03143777600312328,0.03143777600312328,0.04993709876576578,0.04993709876576578,0.00451178415808927,0.00451178415808927,0.9999999968191133
balanced,3.0,2.167499999999999,2.167499999999999,1.0,14.282856857085699,0.03570714214271425,0.5099999999999999,0.5099999999999999,0.037803565697059394,0.037803565697059394,0.05924408500545318,0.05924408500545318,0.005460725911093309,0.005460725911093309,0.9999999973547469
balanced,0.5,0.36125,0.37596562500000014,1.05,5.830951894845301,0.014577379737113254,0.08500000000000002,0.08925000000000002,6.62494957791567e-05,6.293411736141071e-05,0.0004995004995004995,0.0004995004995004995,-2.0278358260459895e-09,-4.278612000629574e-09,1.0526784721689224
balanced,0.75,0.5418749999999998,0.5639484374999998,1.05,7.1414284285428495,0.017853571071357124,0.12749999999999997,0.13387499999999997,0.00010425516153388639,9.871938993153301e-05,0.0004995004995004995,0.0004995004995004995,-8.523755963175319e-10,-6.265439642528551e-09,1.0560747589578579
balanced,1.0,0.7225,0.75193125,1.05,8.246211251235321,0.020615528128088305,0.17,0.17850000000000002,0.00014674125371136418,0.00013828962032383913,0.0004995004995004995,0.0004995004995004995,8.613830848122504e-10,1.2978038929700266e-10,1.0611146899981698
balanced,1.25,0.903125,0.9399140625000002,1.05,9.219544457292887,0.02304886114323222,0.21250000000000002,0.22312500000000005,0.00019867761796912481,0.00018551418543634495,0.0004995004995004995,0.0004995004995004995,1.0977104843423479e-05,1.8694325285355771e-06,1.07095589701795
balanced,1.5,1.08375,1.1278968750000002,1.05,10.099504938362077,0.025248762345905198,0.255,0.26775000000000004,0.0029556746552208924,0.0008172970107916032,0.004923078853762374,0.001360892264073954,0.002672205216484266,0.00040583282242766066,3.616401693085807
balanced,1.75,1.264375,1.3158796875000003,1.05,10.908712114635716,0.02727178028658929,0.29750000000000004,0.31237500000000007,0.009345494700249484,0.004291151779690816,0.015486367981802779,0.007108693359384407,0.0035937371360573447,0.0005430733715959344,2.1778522322828717
balanced,2.0,1.445,1.5038625000000005,1.05,11.661903789690601,0.029154759474226508,0.3400000000000001,0.3570000000000001,0.016864313427169805,0.009247065269465872,0.0276993624943086,0.015186767404774076,0.00875270812800364,0.0012991103483591007,1.8237476164985649
balanced,2.25,1.625625,1.6918453125000001,1.05,12.369316876852983,0.030923292192132457,0.38250000000000006,0.40162500000000007,0.02466474435158122,0.014826041262969894,0.04005946955987318,0.0240840524960931,0.00982264457417498,0.0014539134818014603,1.6636095737048773
balanced,2.5,1.80625,1.8798281250000004,1.05,13.038404810405297,0.03259601202601325,0.42500000000000004,0.4462500000000001,0.032396539441873984,0.020611158960768792,0.05194179184424737,0.033068459208157014,0.007943731082264555,0.001182071557436975,1.5717961006636179
balanced,2.75,1.9868750000000004,2.067810937500001,1.05,13.674794331177345,0.03418698582794336,0.46750000000000014,0.4908750000000002,0.03990374402353493,0.02639543666382221,0.06310458901300589,0.0417705823432965,0.008282455356763517,0.001233165953071196,1.5117667641032297
