time,Eh,El,Rh,Rl,param_name,param_value,R0_low,R0_high,R0_target,kappa_high,kappa_low
0.0,0.0,0.0,0.0,0.0,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
1.0027472527472527,0.00010183194697412292,9.693629731883972e-05,9.043321447218207e-05,9.037519920403329e-05,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
2.0054945054945055,0.00016202540831432852,0.00015401800885805512,0.00016743396362860647,0.0001670419564976892,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
3.008241758241758,0.00019814781839948715,0.0001879292165254487,0.00023698520484049295,0.00023585431674420155,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
4.010989010989011,0.00022036528190416858,0.00020837493514454976,0.00030241192808490796,0.0003000925190005691,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
5.013736263736264,0.00023455304286799117,0.00022099324488816213,0.00036552623060985323,0.0003615629497405254,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
6.016483516483516,0.00024412328212864996,0.00022907523020631,0.00042729522015638787,0.00042124316369313226,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
7.019230769230769,0.00025102871902925615,0.00023451481802913126,0.0004882032698199497,0.00047963393397263966,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
8.021978021978022,0.00025641308858610675,0.00023842620136125498,0.0005484840118919584,0.0005369854834390074,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
9.024725274725274,0.00026093094538079213,0.0002414507872982642,0.0006082305640869261,0.0005934064052409398,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
10.027472527472527,0.00026496371899653327,0.00024396367464278219,0.0006674687331967222,0.0006489357140234067,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
11.030219780219781,0.00026873278767404945,0.0002461837660391477,0.0007261926690996588,0.0007035788403836745,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
12.032967032967033,0.00027236525534747515,0.00024823725251895686,0.0007843845901760571,0.0007573273892184158,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
13.035714285714285,0.0002759350120006694,0.00025019770507791615,0.0008420250509532864,0.0008101697369773266,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
14.038461538461538,0.00027948692360433447,0.00025210984639964073,0.0008990985914254881,0.0008620969522708801,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
15.041208791208792,0.00028304421198694973,0.000253996851200159,0.0009555942337575712,0.0009131034604501499,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
16.043956043956044,0.0002866205508596286,0.00025587227730787423,0.0010115072433991366,0.0009631890226523396,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
17.046703296703296,0.0002902254272150254,0.00025774537375858585,0.0010668390999612365,0.0010123588600737198,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
18.049450549450547,0.0002938643763237206,0.0002596214045370653,0.0011215960362464578,0.001060622322503692,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
19.052197802197803,0.0002975404561982123,0.0002615031383073941,0.0011757882913785449,0.0011079922405282138,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
20.054945054945055,0.0003012557063800794,0.00026339228128081563,0.0012294297874105309,0.0011544846438915077,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
21.057692307692307,0.0003050116399452839,0.00026528998373832153,0.0012825373909526388,0.0012001180823867912,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
22.060439560439562,0.0003088096526308599,0.0002671972760787442,0.0013351283353656394,0.0012449113996580762,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
23.063186813186814,0.0003126501179063922,0.0002691141292648969,0.0013872240276319166,0.0012888869333674692,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
24.065934065934066,0.00031653355702802107,0.00027104066726363265,0.0014388454513377365,0.001332066619987511,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
25.068681318681318,0.0003204601335418356,0.00027297664244410786,0.0014900156809597386,0.0013744739934863097,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
26.07142857142857,0.0003244302724240256,0.00027492206958220055,0.001540757494321804,0.0014161323008231317,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
27.074175824175825,0.0003284447902016536,0.0002768773456121567,0.0015910946274396147,0.0014570653701949316,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
28.076923076923077,0.00033250440113669945,0.00027884276032724123,0.001641050594581565,0.001497296758752271,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
29.07967032967033,0.00033660985709855074,0.0002808186257368556,0.0016906491256471064,0.0015368499024442468,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
30.082417582417584,0.00034076187386049603,0.0002828052251757832,0.001739913815331406,0.0015757482652264392,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
31.085164835164836,0.00034496087784297095,0.000284802531539301,0.0017888680491524559,0.0016140146051123938,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
32.08791208791209,0.000349207278410386,0.0002868104994040692,0.0018375352005112866,0.0016516716382769402,delta,0.03333333333333333,1.0625,1.1057812500000002,,1.05,1.0
