phi_transmission,kappa_scale,Eh_peak,El_peak
0.85,0.0,0.0001855019352431575,0.0014024344640728818
0.85,0.15,0.00018580626811444788,0.0014005183605343974
0.85,0.3,0.00018611093019109835,0.0013984892045884592
0.85,0.44999999999999996,0.00018641914997331247,0.0013963378798100006
0.85,0.6,0.00018680060096430573,0.0013940525685753413
0.85,0.75,0.0001871825782001118,0.0013916359851145815
0.85,0.8999999999999999,0.00018756508222206046,0.0013890569098815714
0.85,1.05,0.0001879481135719221,0.0013863060938610885
0.85,1.2,0.00018833167279190853,0.0013833952681806374
0.85,1.3499999999999999,0.0001887157604246717,0.0013802746875537977
0.85,1.5,0.00018910037701330595,0.0013769525249004524
0.85,1.65,0.00018948552310134648,0.0013734068074701317
0.85,1.7999999999999998,0.00018987119923277078,0.0013696144693538987
0.85,1.95,0.000190257405951999,0.0013655671855457348
0.85,2.1,0.00019065232137880687,0.0013612230859415641
0.85,2.25,0.00019111989411825509,0.00135657233705413
0.85,2.4,0.0001915882596452104,0.0013515890266001375
0.85,2.55,0.00019205741897324518,0.0013462435519518495
0.85,2.6999999999999997,0.00019252737311696206,0.001340504082771607
0.85,2.85,0.00019299812309199607,0.0013343418549582175
0.85,3.0,0.0001934748174378859,0.0013277190887003663
0.865,0.0,0.00019026802752981686,0.0013918721367141562
0.865,0.15,0.00019062423890592626,0.0013895570669266162
0.865,0.3,0.00019098090012010138,0.0013871049784472025
0.865,0.44999999999999996,0.00019133801159599236,0.0013845172780183098
0.865,0.6,0.00019169557375756503,0.0013817714370311588
0.865,0.75,0.00019205358702910068,0.0013788597348156747
0.865,0.8999999999999999,0.0001924120518351975,0.0013757718198916086
0.865,1.05,0.00019277096860076897,0.0013724941098351776
0.865,1.2,0.00019313033775104552,0.0013690092551218423
0.865,1.3499999999999999,0.00019349015971157436,0.0013653096050647167
0.865,1.5,0.0001938504349082186,0.0013613650021938287
0.865,1.65,0.00019426153980250715,0.0013571695473945393
0.865,1.7999999999999998,0.00019469768230512762,0.0013526994503493546
0.865,1.95,0.00019513450191438835,0.0013479337366064305
0.865,2.1,0.00019557199942298007,0.0013428540758283723
0.865,2.25,0.0001960101756243319,0.0013374302838831354
0.865,2.4,0.00019644903131261183,0.0013316440236518425
0.865,2.55,0.00019689465044147572,0.0013254663265843533
0.865,2.6999999999999997,0.00019741244879185736,0.0013188509373631445
