time,Eh,El,Idh,Idl,param_name,param_value,R0_low,R0_high,R0_target,kappa_high,kappa_low
0.0,0.0,0.0,0.0,0.0,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
1.0027472527472527,0.00010184299129423622,9.693623556271963e-05,5.18938307554541e-06,4.9408148060346825e-06,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
2.0054945054945055,0.00016209464436119263,0.0001540175135300028,1.656225524909035e-05,1.5755322612656957e-05,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
3.008241758241758,0.0001983335086754713,0.00018792771782019828,3.011666158738459e-05,2.8608960182699563e-05,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
4.010989010989011,0.00022072037924305305,0.0002083718152896115,4.379327280843334e-05,4.1521039465685986e-05,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
5.013736263736264,0.00023512056208980383,0.0002209878476258061,5.661195637769831e-05,5.354616285821861e-05,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
6.016483516483516,0.0002449362418582026,0.0002290665431632346,6.817316287419212e-05,6.429880986164851e-05,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
7.019230769230769,0.00025211239736022017,0.00023450198785594358,7.839137243817083e-05,7.369756958001377e-05,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
8.021978021978022,0.000257786702884992,0.00023840808634247366,8.73274055171968e-05,8.180376039223807e-05,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
9.024725274725274,0.00026260957162617697,0.0002414262324746159,9.511190797670023e-05,8.874682072316108e-05,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
10.027472527472527,0.0002669595818148621,0.00024393137996891293,0.00010189592479471906,9.467646719512514e-05,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
11.030219780219781,0.00027105615274016827,0.000246142304513805,0.00010782925745633578,9.974115320721554e-05,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
12.032967032967033,0.00027502511308465555,0.00024818507136719215,0.00011304947028770203,0.00010407733844623881,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
13.035714285714285,0.00027893957096870723,0.0002501331789117958,0.00011767842951527691,0.00010780602106976383,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
14.038461538461538,0.00028284385745838366,0.00025203124671932764,0.00012182082349883504,0.00011103120391247344,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
15.041208791208792,0.0002867607743899589,0.0002539022512917612,0.00012556567517012143,0.00011384137139834677,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
16.043956043956044,0.0002907038394189817,0.00025575969651414013,0.00012898732297124751,0.00011631042643851462,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
17.046703296703296,0.0002946824123865026,0.00025761273622903927,0.00013214720540682457,0.00011849944852077754,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
18.049450549450547,0.0002987019026582092,0.00025946649476864627,0.00013509630526786968,0.00012045910363271169,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
19.052197802197803,0.00030276526996388635,0.00026132359704772337,0.00013787629984832802,0.00012223077765899853,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
20.054945054945055,0.0003068746630494757,0.0002631858012272151,0.00014052131733631717,0.00012384832580322608,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
21.057692307692307,0.0003110318849435157,0.0002650545011537241,0.00014306285823336334,0.00012534298190704262,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
22.060439560439562,0.00031523740038945835,0.0002669296795751545,0.0001455222153113649,0.00012673579711015644,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
23.063186813186814,0.00031949174775357947,0.0002688114035643149,0.0001479196502109363,0.00012804678685810066,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
24.065934065934066,0.0003237950408397031,0.0002706993000284475,0.00015027018890458003,0.00012929073516993532,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
25.068681318681318,0.0003281479221166365,0.0002725935329410072,0.00015258697475814672,0.00013048053635756978,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
26.07142857142857,0.0003325512058729074,0.00027449443767358945,0.0001548808195006087,0.0001316267505962775,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
27.074175824175825,0.00033700562718391036,0.00027640225105036916,0.0001571596760950955,0.0001327370822282826,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
28.076923076923077,0.0003415119206668072,0.0002783172099535349,0.00015943160752082672,0.0001338193455716204,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
29.07967032967033,0.0003460706956002956,0.0002802394203072308,0.00016170398281626985,0.0001348806623528195,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
30.082417582417584,0.0003506822017894594,0.00028216860035414125,0.0001639796456209608,0.00013592363378750515,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
31.085164835164836,0.0003553468461610541,0.0002841046380792543,0.00016626343750092158,0.0001369528567996951,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
32.08791208791209,0.0003600647498444983,0.0002860471403133687,0.00016855845388532106,0.00013797117848085813,kappa_scale,0.0,1.0625,1.1156249999999999,,1.0,1.0
