time,Eh,El,param_name,param_value,R0_low,R0_high,R0_target,kappa_high,kappa_low
0.0,0.0,0.0,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
1.0027472527472527,4.043529411344712e-05,3.8502424671376845e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
2.0054945054945055,6.294971979118135e-05,5.990623075531716e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
3.008241758241758,7.43267256022502e-05,7.066674608403584e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
4.010989010989011,7.883708999897787e-05,7.485908051003112e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
5.013736263736264,7.920163680007356e-05,7.508546270390516e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
6.016483516483516,7.71261793543178e-05,7.298109417288448e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
7.019230769230769,7.367883496955654e-05,6.957166963083925e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
8.021978021978022,6.953027812452067e-05,6.550193945390774e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
9.024725274725274,6.509035131894872e-05,6.116620559817266e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
10.027472527472527,6.060848858182024e-05,5.6804239167971655e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
11.030219780219781,5.623036510736013e-05,5.255568485232432e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
12.032967032967033,5.2040683465072606e-05,4.850122612544983e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
13.035714285714285,4.808295912001872e-05,4.468172688749077e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
14.038461538461538,4.43743091145343e-05,4.1112523870766634e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
15.041208791208792,4.091925174493308e-05,3.7796767768057506e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
16.043956043956044,3.7712831734466355e-05,3.47284862944747e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
17.046703296703296,3.474538567468774e-05,3.1897220468551025e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
18.049450549450547,3.200303332783738e-05,2.9288512421758313e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
19.052197802197803,2.947147258685361e-05,2.6887586628223424e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
20.054945054945055,2.7136664569408746e-05,2.4680012800095718e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
21.057692307692307,2.4984753702515272e-05,2.2651626533946544e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
22.060439560439562,2.3002151045520995e-05,2.078861103719385e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
23.063186813186814,2.117596971534303e-05,1.9077919780099375e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
24.065934065934066,1.9494185086057866e-05,1.7507411143388114e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
25.068681318681318,1.7945561378570903e-05,1.606577225190534e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
26.07142857142857,1.6519749308141124e-05,1.4742624410362234e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
27.074175824175825,1.5207069340683071e-05,1.3528290473593902e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
28.076923076923077,1.399844121738261e-05,1.2413717400627088e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
29.07967032967033,1.2885706640911248e-05,1.1390812747312374e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
30.082417582417584,1.1861285688306586e-05,1.0452057186291665e-05,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
31.085164835164836,1.091836340630103e-05,9.590727014644312e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
32.08791208791209,1.0050548148885196e-05,8.800522793383078e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
33.09065934065934,9.252068065708193e-06,8.075780417399635e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
34.09340659340659,8.51726213243411e-06,7.410954130185642e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
35.09615384615385,7.840772231815394e-06,6.8008102174399585e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
36.098901098901095,7.217782805298832e-06,6.240666633421924e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
37.10164835164835,6.6439759394151185e-06,5.726346700442119e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
38.104395604395606,6.115485232112961e-06,5.2541254740606875e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
39.107142857142854,5.629028907892044e-06,4.8208459342097775e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
40.10989010989011,5.181613731693962e-06,4.423643731191839e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
41.112637362637365,4.770211698416075e-06,4.059607252982639e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
42.11538461538461,4.391724305868153e-06,3.7257606691636738e-06,sigma,0.5,0.425,0.44231250000000005,0.5,1.05,1.0
