time,Eh,El,param_name,param_value,R0_low,R0_high,R0_target,kappa_high,kappa_low
0.0,0.0,0.0,theta,0.0,1.25,1.3125,,1.05,1.0
1.0027472527472527,0.0001020656999548903,9.713816645323498e-05,theta,0.0,1.25,1.3125,,1.05,1.0
2.0054945054945055,0.00016349403605402593,0.00015528486973303185,theta,0.0,1.25,1.3125,,1.05,1.0
3.008241758241758,0.00020210109508927271,0.0001913333645495407,theta,0.0,1.25,1.3125,,1.05,1.0
4.010989010989011,0.00022796362529164173,0.00021490248476402815,theta,0.0,1.25,1.3125,,1.05,1.0
5.013736263736264,0.00024677340478015735,0.00023146099137225283,theta,0.0,1.25,1.3125,,1.05,1.0
6.016483516483516,0.00026175903975285224,0.00024412995368033687,theta,0.0,1.25,1.3125,,1.05,1.0
7.019230769230769,0.00027473600392736026,0.000254674450927944,theta,0.0,1.25,1.3125,,1.05,1.0
8.021978021978022,0.00028674331981021705,0.00026410843761226255,theta,0.0,1.25,1.3125,,1.05,1.0
9.024725274725274,0.0002983698732694783,0.000273007941914836,theta,0.0,1.25,1.3125,,1.05,1.0
10.027472527472527,0.00030995543953527455,0.00028170419658179525,theta,0.0,1.25,1.3125,,1.05,1.0
11.030219780219781,0.0003216983429722986,0.0002903889644181471,theta,0.0,1.25,1.3125,,1.05,1.0
12.032967032967033,0.000333715586397309,0.00029917278162300645,theta,0.0,1.25,1.3125,,1.05,1.0
13.035714285714285,0.00034608089407820976,0.00030812262384533447,theta,0.0,1.25,1.3125,,1.05,1.0
14.038461538461538,0.0003588423746043766,0.00031727936352191776,theta,0.0,1.25,1.3125,,1.05,1.0
15.041208791208792,0.00037203156156637764,0.00032666680490675977,theta,0.0,1.25,1.3125,,1.05,1.0
16.043956043956044,0.000385674501555897,0.00033630271437480667,theta,0.0,1.25,1.3125,,1.05,1.0
17.046703296703296,0.00039979354555404385,0.0003462006885410003,theta,0.0,1.25,1.3125,,1.05,1.0
18.049450549450547,0.0004144081672978355,0.0003563710535046851,theta,0.0,1.25,1.3125,,1.05,1.0
19.052197802197803,0.00042953682083296746,0.00036682270904894905,theta,0.0,1.25,1.3125,,1.05,1.0
20.054945054945055,0.00044519773240020845,0.0003775639208320277,theta,0.0,1.25,1.3125,,1.05,1.0
21.057692307692307,0.00046140907761254814,0.0003886025171814684,theta,0.0,1.25,1.3125,,1.05,1.0
22.060439560439562,0.00047818922623163717,0.00039994613330149407,theta,0.0,1.25,1.3125,,1.05,1.0
23.063186813186814,0.000495556920623167,0.0004116023801117813,theta,0.0,1.25,1.3125,,1.05,1.0
24.065934065934066,0.000513531383431163,0.0004235789252074868,theta,0.0,1.25,1.3125,,1.05,1.0
25.068681318681318,0.000532132156269815,0.000435883422849627,theta,0.0,1.25,1.3125,,1.05,1.0
26.07142857142857,0.0005513792345010098,0.0004485235350712173,theta,0.0,1.25,1.3125,,1.05,1.0
27.074175824175825,0.0005712931287840057,0.00046150701307067654,theta,0.0,1.25,1.3125,,1.05,1.0
28.076923076923077,0.0005918948217399629,0.0004748416045380198,theta,0.0,1.25,1.3125,,1.05,1.0
29.07967032967033,0.0006132058474548563,0.0004885351782755353,theta,0.0,1.25,1.3125,,1.05,1.0
30.082417582417584,0.0006352484715328054,0.0005025959942281105,theta,0.0,1.25,1.3125,,1.05,1.0
31.085164835164836,0.00065804544255549,0.0005170323327442979,theta,0.0,1.25,1.3125,,1.05,1.0
32.08791208791209,0.0006816201510937689,0.0005318526486296792,theta,0.0,1.25,1.3125,,1.05,1.0
33.09065934065934,0.0007059967765819875,0.0005470656621794672,theta,0.0,1.25,1.3125,,1.05,1.0
34.09340659340659,0.0007312000517063821,0.0005626802238777311,theta,0.0,1.25,1.3125,,1.05,1.0
35.09615384615385,0.0007572547331999483,0.0005787050149594813,theta,0.0,1.25,1.3125,,1.05,1.0
36.098901098901095,0.0007841867279925979,0.000595147992695598,theta,0.0,1.25,1.3125,,1.05,1.0
37.10164835164835,0.000812020976476494,0.0006120175875597636,theta,0.0,1.25,1.3125,,1.05,1.0
38.104395604395606,0.0008407811891332169,0.0006293193174213751,theta,0.0,1.25,1.3125,,1.05,1.0
39.107142857142854,0.0008704922421699608,0.0006470598102682191,theta,0.0,1.25,1.3125,,1.05,1.0
40.10989010989011,0.0009011864524573658,0.0006652527211110483,theta,0.0,1.25,1.3125,,1.05,1.0
41.112637362637365,0.0009328915200765658,0.000683906343210918,theta,0.0,1.25,1.3125,,1.05,1.0
42.11538461538461,0.0009656341390542791,0.000703027542258323,theta,0.0,1.25,1.3125,,1.05,1.0
43.11813186813187,0.0009994431808693024,0.0007226248853094868,theta,0.0,1.25,1.3125,,1.05,1.0
44.120879120879124,0.0010343479379007808,0.0007427068351889169,theta,0.0,1.25,1.3125,,1.05,1.0
45.12362637362637,0.001070377625125136,0.0007632813432528342,theta,0.0,1.25,1.3125,,1.05,1.0
46.12637362637363,0.0011075619567727409,0.0007843563186395618,theta,0.0,1.25,1.3125,,1.05,1.0
47.129120879120876,0.0011459309781627373,0.0008059396073371714,theta,0.0,1.25,1.3125,,1.05,1.0
48.13186813186813,0.0011855150777782683,0.0008280389134416276,theta,0.0,1.25,1.3125,,1.05,1.0
49.13461538461539,0.001226344890873583,0.000850661798618723,theta,0.0,1.25,1.3125,,1.05,1.0
50.137362637362635,0.0012684514524569771,0.0008738156842677897,theta,0.0,1.25,1.3125,,1.05,1.0
51.14010989010989,0.0013118659543593049,0.000897507737462151,theta,0.0,1.25,1.3125,,1.05,1.0
